"TD","PZ","SZZZ","ZXBZ","CYBZ","SZ50"
"20160308","1.16247817042031","0.923540063910252","1.03523026846568","1.14563119573147","0.880014878005349"
"20160309","1.16423149443041","0.911179774082766","1.01648523148149","1.12767705666099","0.878667203650603"
"20160310","1.17014896296451","0.892771915394515","1.0028751095588","1.10831132790708","0.857669994524761"
"20160311","1.17013504769459","0.894548402673421","0.999863718048436","1.10711087587795","0.861527999440827"
"20160314","1.15789308898119","0.910206700867999","1.03163516035273","1.15761111190582","0.86472564725148"
"20160315","1.13542340687553","0.911756551532932","1.02138275217575","1.14261518875077","0.87417297262214"
"20160316","1.10939141566999","0.91368614585021","1.00945181276977","1.13152502610611","0.888739355319719"
"20160317","1.08702957690622","0.92463664134724","1.04380691338639","1.19432560401677","0.886806213148229"
"20160318","1.08410041258775","0.94065335643414","1.07987392372672","1.24615274579084","0.890840124682345"
"20160321","1.09793566970715","0.960914415075409","1.10750333907064","1.27428383423691","0.912561471624449"
"20160322","1.15192343818489","0.954726789880166","1.10914083917443","1.27123292374154","0.904186644077838"
"20160323","1.18420338558517","0.958099919372115","1.12149234761374","1.29263507231036","0.905030147099205"
"20160324","1.14470141309566","0.942505919767456","1.10347105408798","1.27012745504742","0.889347747579828"
"20160325","1.07788376575035","0.948383192857891","1.10929649693512","1.26801951163689","0.894179729300185"
"20160328","1.08176264724095","0.941503243736537","1.09916799624337","1.25863504370092","0.883292074882632"
"20160329","1.08578068143077","0.929411289113517","1.08094789714669","1.23166378188164","0.876563147480308"
"20160330","1.07400836307722","0.955134863109257","1.11951047913771","1.2867283676885","0.897643608532053"
"20160331","1.07700362492781","0.956175736322305","1.11774011634278","1.28072210222152","0.897232341521784"
"20160401","1.06088974235878","0.957963046136148","1.10704483252869","1.2618873646416","0.901909344019757"
"20160405","1.0501680268843","0.971820665503138","1.13576336373164","1.30431573376057","0.90710166803409"
"20160406","1.0423198146486","0.971033485241405","1.14175976960046","1.31434105311342","0.902015353968383"
"20160407","1.0019133496142","0.957609722201444","1.11882727833871","1.28667172100076","0.890102548399283"
"20160408","0.962254830338071","0.950141536475285","1.11213578567034","1.27594318165563","0.883612101776208"
"20160411","0.961096384117111","0.965738400868604","1.13054622359781","1.30638877365643","0.893861657849146"
"20160412","0.927202265405943","0.962456307994065","1.12238265790185","1.29544451914687","0.891971410597999"
"20160413","0.921740521961775","0.976141085111916","1.1373531570113","1.31260960991031","0.903379087915032"
"20160414","0.906489386127867","0.981146189210378","1.14634662606105","1.32999213240448","0.906521400862392"
"20160415","0.906190207824556","0.979794963892522","1.14169415236452","1.32157065816013","0.907852349942668"
